Model,Test MSE,Test MAE,Time (s)
My QGRU (Optimized),0.39659345149993896,0.5164833664894104,77.16905117034912
Paper QGRU,0.6063941717147827,0.6994068622589111,52.85119390487671
Classical GRU,0.2542957067489624,0.39265239238739014,0.2219705581665039
