Model,Test MSE,Test MAE,Training Time (s),Scale Reset,Scale Update,Scale Output
My QGRU (Scaled),0.10881849807421011,0.29062558125172344,13080.427979946136,2.0801127373152011e-22,2.7945975489274133e-07,1.702431082725525
Paper QGRU,0.11887198949365743,0.29559449159673284,12974.74209523201,N/A,N/A,N/A
Classical GRU,0.1167264294677547,0.3026355930737087,8.91795539855957,N/A,N/A,N/A
